Application,OS,Database,vRAM,vCPU,RAID 5 GP1,RAID 1/0 GP2,RAID 5 GP3,RAID 5 GP4,IOPS,Interface1,Interface2,Interface3,Notes
CA - Centricity Anaesthesia App Server + DB (up to 20 clients),MS 2012 R2 Std,MS SQL 2012 Std,12,4,0,0,0,0,2600,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB with PREDIX (100 - 150 clients),MS 2012 R2 Std,MS SQL 2012 Std,32,8,0,0,0,0,4450,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB with PREDIX (150 - 200 clients),MS 2012 R2 Std,MS SQL 2012 Std,32,8,0,0,0,0,4450,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB with PREDIX (20 - 60 clients),MS 2012 R2 Std,MS SQL 2012 Std,24,4,0,0,0,0,2900,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB with PREDIX (60 - 100 clients),MS 2012 R2 Std,MS SQL 2012 Std,32,6,0,0,0,0,3850,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia App Server + DB with PREDIX (up to 20 clients),MS 2012 R2 Std,MS SQL 2012 Std,12,4,0,0,0,0,2600,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia Warehouse DB Server (100 - 150 clients),MS 2012 R2 Std,MS SQL 2012 Std,8,4,0,0,0,0,,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia Warehouse DB Server (150 - 200 clients),MS 2012 R2 Std,MS SQL 2012 Std,16,4,0,0,0,0,2200,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia Warehouse DB Server (60 - 100 clients),MS 2012 R2 Std,MS SQL 2012 Std,6,4,0,0,0,0,1770,Fiber Channel,SAS,GigE,
CA - Centricity Anaesthesia Warehouse DB Server (up to 20 clients),MS 2012 R2 Std,MS SQL 2012 Std,4,4,0,0,0,0,1770,Fiber Channel,SAS,GigE,
RIS_IC - RISDB,W2K8 R2 SP1,SQL 2012 Enterprise SP1,16,8,500,200,0,0,,Fiber Channel,SAS,GigE,C:100GB/D:200GB/ E:100GB/H:300GB -Add room for paging file for C: and H: - memory = 10% of DB size
RIS_IC - RISCXR,W2K8 R2 SP1,SQL 2012 Standard SP1,16,4,325,100,0,0,,Fiber Channel,SAS,GigE,C:75GB/D:100GB/ E:100GB/H:150GB -Add room for paging file for C: and H:
RIS_IC - RISWEB1,W2K8 R2 SP1,SQL 2012 Client Tool Connectivity,4,2,100,0,0,0,,Fiber Channel,SAS,GigE,C:75GB
RIS_IC - RISWEB2,W2K8 R2 SP1,SQL 2012 Client Tool Connectivity,4,2,100,0,0,0,,Fiber Channel,SAS,GigE,C:75GB
RIS_IC - RISRPT,W2K8 R2 SP1,SQL 2012 Client Tool Connectivity,8,4,175,0,0,0,,Fiber Channel,SAS,GigE,"C:75GB/D:100 - SAP Crystal Reports 2011, Microsoft Word 2010 (x86), Install PDF Reader "
RIS_IC - RISFAX,W2K8 R2 SP1,-,4,2,100,0,0,0,,Fiber Channel,SAS,GigE,C:75GB - If VM - FOIP
RIS_IC - RISTEST,W2K8 R2 SP1,SQL 2012 Standard SP1,16,4,500,200,0,0,,Fiber Channel,SAS,GigE,"C:100GB/D:200GB/ E:100GB/H:300GB -Add room for paging file for C: and H: - SAP Crystal Reports 2011 , Microsoft Word 2010 (x86), Install PDF Reader "
RIS_IC - RISPREDIX,W2K8 R2 SP1,SQL 2012 Client Tool Connectivity,8,4,100,0,0,0,,Fiber Channel,SAS,GigE,C:100GB
RIS_IC - RISALTRPT (If customer has Alt Rpt),W2K8 R2 SP1,SQL 2012 Standard SP1,16,,500,200,0,0,,Fiber Channel,SAS,GigE,C:100GB/D:200GB/ E:100GB/H:300GB -Add room for paging file for C: and H: - memory = 10% of DB size
RIS_IC - RISDMS (If customer has DMS),W2K8 R2 SP1,,4,2,325,0,0,0,,Fiber Channel,SAS,GigE,C:75GB/D:250GB - Generic disk sizes - actual disk sizes may vary based on customer need
PACSHealth,MS 2012 R2 Std,MS SQL 2014 Std,8,2,1120,0,0,0,100,Fiber Channel,SAS,GigE,C:\OS - 60GB (Min.) \ D:\DATA - 900GB (Min.) Ð (Virtual servers can initially be less but MUST have expansion capability) \ L:\LOGS - 60GB (Min.)  \ T:\TEMP - 100GB (Min.)
PACSGear DMWL,MS 2012 R2 Std,MS SQL 2014 Std,4,4,80,0,0,0,100,Fiber Channel,SAS,GigE,Currently they do not have a VM specification document
RMS Server,Ubuntu 3.13.0,MySQL 5.5.38,2,2,65,0,0,0,100,Fiber Channel,SAS,GigE,Delivered as an 3GB OVA
